✔ cards preserve outer tracks, regions and headings while measuring a rounded inner box (8.156042ms)
✔ slide false overrides host cards; nested leaves receive one inset and preserve group geometry (1.427667ms)
✔ card padding participates in automatic score, strict overflow and whole-document pagination (222.243209ms)
✔ accepted code uses rounded cells and preserves body compatibility without repeated explanation measurements (2.62675ms)
✔ candidate penalties include complete code metadata and charge overflowing leaves once (10.061375ms)
✔ strict ancestors reject code metadata paths and cannot be weakened by descendants (189.509084ms)
✔ explicit code placement and weights remain authoritative even when metadata overflows (14.622167ms)
✔ pagination preserves exact code bytes, metadata, ranges and floors across wide and portrait slides (272.280041ms)
✔ irreducible code metadata rejects pagination even after earlier content or with an empty body (180.821542ms)
✔ complete code parts preserve exact filename, language, body, whitespace and hard line boundaries (9.368916ms)
✔ shorthand, empty source and absent metadata retain their source and generated-label distinction (5.796792ms)
✔ long language labels and filenames are measured within their cell before allocating the body (12.994292ms)
✔ wrapped whitespace and graphemes retain contiguous source offsets, including CRLF and blank final lines (0.515583ms)
✔ tabs use measured space stops and never send control tabs to the font-width provider (0.382917ms)
✔ readability floors scale once and body shrinking preserves all code content (0.222083ms)
✔ irreducible body and metadata failures remain explicit; strict mode does not return partial output (14.705875ms)
✔ invalid inner boxes never become invented one-pixel fits; malformed options reject (1.677708ms)
✔ font trials stay bounded independently of canvas scale (19.171291ms)
✔ opaque contrast follows unrounded sRGB luminance thresholds (1.084917ms)
✔ chart marks retain passing colors and brighten/darken failing opaque palettes (19.291708ms)
✔ bright and dark fills select readable inherited text without guessing alpha backdrops (0.103042ms)
✔ explanation preserves geometry, source values and measurement calls (17.520958ms)
✔ candidate penalties account for the score and report the selected flow (13.936584ms)
✔ fixed modes and promoted regions retain placement with no invented search (0.934334ms)
✔ reserved slots, candidate caps and empty slides are explicit (120.591833ms)
✔ equal scores retain the first, lower-column candidate (0.169542ms)
✔ unsupported internal fit stays visible and strict failures retain their explanation (872.737833ms)
▶ example catalog sanity
  ✔ has at least one example (0.275042ms)
  ✔ has at least one gallery (0.058333ms)
  ✔ example categories include 'gallery' (0.041708ms)
✔ example catalog sanity (0.78925ms)
▶ every bundled example validates cleanly
  ✔ example 'compliance-readiness-review' has the expected shape and validates without warnings (157.371625ms)
  ✔ example 'contract-cycle-time-brief' has the expected shape and validates without warnings (0.743917ms)
  ✔ example 'data-platform-migration-plan' has the expected shape and validates without warnings (0.450083ms)
  ✔ example 'defect-escape-reduction-review' has the expected shape and validates without warnings (0.209042ms)
  ✔ example 'demand-generation-campaign-brief' has the expected shape and validates without warnings (0.32575ms)
  ✔ example 'employee-town-hall-run-of-show' has the expected shape and validates without warnings (0.134708ms)
  ✔ example 'engineering-capacity-planning' has the expected shape and validates without warnings (0.325584ms)
  ✔ example 'enterprise-account-expansion-plan' has the expected shape and validates without warnings (0.18775ms)
  ✔ example 'field-enablement-certification' has the expected shape and validates without warnings (0.196959ms)
  ✔ example 'fy27-budget-tradeoff-deck' has the expected shape and validates without warnings (0.093708ms)
  ✔ example 'identity-incident-executive-brief' has the expected shape and validates without warnings (0.145916ms)
  ✔ example 'investor-relations-update' has the expected shape and validates without warnings (0.2005ms)
  ✔ example 'model-governance-review' has the expected shape and validates without warnings (0.204833ms)
  ✔ example 'onboarding-experience-redesign' has the expected shape and validates without warnings (0.063541ms)
  ✔ example 'partner-ecosystem-launch-kit' has the expected shape and validates without warnings (0.055792ms)
  ✔ example 'pricing-and-packaging-decision' has the expected shape and validates without warnings (0.184667ms)
  ✔ example 'product-roadmap-decision-review' has the expected shape and validates without warnings (0.181875ms)
  ✔ example 'renewal-save-plan' has the expected shape and validates without warnings (0.104208ms)
  ✔ example 'revenue-forecast-inspection' has the expected shape and validates without warnings (0.177375ms)
  ✔ example 's-and-op-exception-review' has the expected shape and validates without warnings (0.192042ms)
  ✔ example 'scope-3-reporting-readiness' has the expected shape and validates without warnings (0.125791ms)
  ✔ example 'strategy-offsite-pre-read' has the expected shape and validates without warnings (3.091709ms)
  ✔ example 'supplier-risk-heatmap' has the expected shape and validates without warnings (3.064125ms)
  ✔ example 'support-deflection-program' has the expected shape and validates without warnings (4.528ms)
  ✔ example 'workplace-occupancy-reset' has the expected shape and validates without warnings (0.180542ms)
  ✔ example 'data-storytelling-atlas' has the expected shape and validates without warnings (0.206375ms)
  ✔ example 'kiosk-orientation-deck' has the expected shape and validates without warnings (0.180834ms)
  ✔ example 'photo-essay-portfolio' has the expected shape and validates without warnings (0.141875ms)
  ✔ example 'video-demo-sales-narrative' has the expected shape and validates without warnings (0.149583ms)
  ✔ example 'visual-brand-system-sampler' has the expected shape and validates without warnings (0.473833ms)
  ✔ example 'advising-retention-review' has the expected shape and validates without warnings (0.092583ms)
  ✔ example 'alumni-giving-campaign' has the expected shape and validates without warnings (0.075083ms)
  ✔ example 'apprenticeship-partnership-deck' has the expected shape and validates without warnings (0.081041ms)
  ✔ example 'athletics-budget-review' has the expected shape and validates without warnings (0.15075ms)
  ✔ example 'campus-energy-action-brief' has the expected shape and validates without warnings (0.077459ms)
  ✔ example 'curriculum-approval-brief' has the expected shape and validates without warnings (20.260208ms)
  ✔ example 'district-literacy-acceleration-plan' has the expected shape and validates without warnings (0.126875ms)
  ✔ example 'library-modernization-roadmap' has the expected shape and validates without warnings (0.211667ms)
  ✔ example 'online-program-launch-plan' has the expected shape and validates without warnings (0.103834ms)
  ✔ example 'research-grant-pitch' has the expected shape and validates without warnings (0.076917ms)
  ✔ example 'school-safety-preparedness-brief' has the expected shape and validates without warnings (0.048791ms)
  ✔ example 'special-education-services-plan' has the expected shape and validates without warnings (0.043ms)
  ✔ example 'stem-lab-funding-proposal' has the expected shape and validates without warnings (0.04025ms)
  ✔ example 'student-mental-health-capacity-review' has the expected shape and validates without warnings (0.095083ms)
  ✔ example 'workforce-pathway-partnership' has the expected shape and validates without warnings (0.149875ms)
  ✔ example 'broadband-public-hearing-deck' has the expected shape and validates without warnings (0.127917ms)
  ✔ example 'court-backlog-reduction-plan' has the expected shape and validates without warnings (0.081791ms)
  ✔ example 'digital-services-modernization' has the expected shape and validates without warnings (0.04575ms)
  ✔ example 'grant-equity-review' has the expected shape and validates without warnings (0.045875ms)
  ✔ example 'housing-zoning-council-brief' has the expected shape and validates without warnings (0.145459ms)
  ✔ example 'parks-master-plan-workshop' has the expected shape and validates without warnings (0.066834ms)
  ✔ example 'police-training-program-update' has the expected shape and validates without warnings (0.066792ms)
  ✔ example 'recycling-participation-campaign' has the expected shape and validates without warnings (0.129875ms)
  ✔ example 'regulatory-risk-brief' has the expected shape and validates without warnings (0.071333ms)
  ✔ example 'tax-portal-modernization' has the expected shape and validates without warnings (0.112709ms)
  ✔ example 'transit-corridor-alternatives' has the expected shape and validates without warnings (0.1265ms)
  ✔ example 'vaccination-outreach-briefing' has the expected shape and validates without warnings (0.063416ms)
  ✔ example 'water-utility-capital-plan' has the expected shape and validates without warnings (0.116584ms)
  ✔ example 'wildfire-evacuation-preparedness' has the expected shape and validates without warnings (0.112042ms)
  ✔ example 'workforce-reskilling-initiative' has the expected shape and validates without warnings (0.127917ms)
  ✔ example 'airline-disruption-recovery-review' has the expected shape and validates without warnings (0.113458ms)
  ✔ example 'ambulatory-access-recovery-plan' has the expected shape and validates without warnings (0.039958ms)
  ✔ example 'battery-line-supplier-readiness' has the expected shape and validates without warnings (0.106417ms)
  ✔ example 'boutique-hotel-revenue-recovery' has the expected shape and validates without warnings (0.102709ms)
  ✔ example 'branch-modernization-investment-case' has the expected shape and validates without warnings (0.037083ms)
  ✔ example 'claims-triage-operating-model' has the expected shape and validates without warnings (0.035625ms)
  ✔ example 'cold-chain-waste-reduction-review' has the expected shape and validates without warnings (0.060084ms)
  ✔ example 'construction-safety-stand-down' has the expected shape and validates without warnings (0.105791ms)
  ✔ example 'consulting-margin-recovery-plan' has the expected shape and validates without warnings (0.063291ms)
  ✔ example 'drive-thru-throughput-playbook' has the expected shape and validates without warnings (0.056625ms)
  ✔ example 'fan-experience-operations-brief' has the expected shape and validates without warnings (0.056167ms)
  ✔ example 'food-bank-distribution-capacity-plan' has the expected shape and validates without warnings (0.036333ms)
  ✔ example 'grid-resilience-capital-plan' has the expected shape and validates without warnings (0.056792ms)
  ✔ example 'managed-detection-market-update' has the expected shape and validates without warnings (0.034416ms)
  ✔ example 'mixed-use-leasing-pipeline-review' has the expected shape and validates without warnings (0.102167ms)
  ✔ example 'port-dwell-time-improvement-plan' has the expected shape and validates without warnings (0.116958ms)
  ✔ example 'retail-launch-readiness-deck' has the expected shape and validates without warnings (0.061042ms)
  ✔ example 'robotics-quality-escape-briefing' has the expected shape and validates without warnings (0.060333ms)
  ✔ example 'rural-broadband-expansion-proposal' has the expected shape and validates without warnings (0.041459ms)
  ✔ example 'satellite-maintenance-readiness-review' has the expected shape and validates without warnings (0.056333ms)
  ✔ example 'streaming-churn-winback-strategy' has the expected shape and validates without warnings (0.058416ms)
  ✔ example 'tailings-monitoring-investment-brief' has the expected shape and validates without warnings (0.100417ms)
  ✔ example 'trial-enrollment-rescue-plan' has the expected shape and validates without warnings (0.068583ms)
  ✔ example 'veterinary-staffing-stabilization' has the expected shape and validates without warnings (0.065125ms)
  ✔ example 'water-stewardship-grower-brief' has the expected shape and validates without warnings (0.121375ms)
  ✔ example 'arabic-digital-services-brief' has the expected shape and validates without warnings (0.064625ms)
  ✔ example 'brazil-climate-adaptation-brief' has the expected shape and validates without warnings (0.05925ms)
