✔ cards preserve outer tracks, regions and headings while measuring a rounded inner box (10.183584ms)
✔ slide false overrides host cards; nested leaves receive one inset and preserve group geometry (0.818958ms)
✔ card padding participates in automatic score, strict overflow and whole-document pagination (191.064125ms)
✔ accepted code uses rounded cells and preserves body compatibility without repeated explanation measurements (2.904208ms)
✔ candidate penalties include complete code metadata and charge overflowing leaves once (14.333416ms)
✔ strict ancestors reject code metadata paths and cannot be weakened by descendants (187.264916ms)
✔ explicit code placement and weights remain authoritative even when metadata overflows (10.798666ms)
✔ pagination preserves exact code bytes, metadata, ranges and floors across wide and portrait slides (239.678459ms)
✔ irreducible code metadata rejects pagination even after earlier content or with an empty body (155.819833ms)
✔ complete code parts preserve exact filename, language, body, whitespace and hard line boundaries (3.76825ms)
✔ shorthand, empty source and absent metadata retain their source and generated-label distinction (0.26875ms)
✔ long language labels and filenames are measured within their cell before allocating the body (3.702542ms)
✔ wrapped whitespace and graphemes retain contiguous source offsets, including CRLF and blank final lines (0.4755ms)
✔ tabs use measured space stops and never send control tabs to the font-width provider (0.347875ms)
✔ readability floors scale once and body shrinking preserves all code content (0.237125ms)
✔ irreducible body and metadata failures remain explicit; strict mode does not return partial output (11.388958ms)
✔ invalid inner boxes never become invented one-pixel fits; malformed options reject (0.212375ms)
✔ font trials stay bounded independently of canvas scale (11.092042ms)
✔ opaque contrast follows unrounded sRGB luminance thresholds (0.510084ms)
✔ chart marks retain passing colors and brighten/darken failing opaque palettes (9.422875ms)
✔ bright and dark fills select readable inherited text without guessing alpha backdrops (0.319542ms)
✔ explanation preserves geometry, source values and measurement calls (18.79675ms)
✔ candidate penalties account for the score and report the selected flow (13.810292ms)
✔ fixed modes and promoted regions retain placement with no invented search (1.476667ms)
✔ reserved slots, candidate caps and empty slides are explicit (64.088916ms)
✔ equal scores retain the first, lower-column candidate (0.165167ms)
✔ unsupported internal fit stays visible and strict failures retain their explanation (787.671792ms)
▶ example catalog sanity
  ✔ has at least one example (0.348625ms)
  ✔ has at least one gallery (0.056542ms)
  ✔ example categories include 'gallery' (0.044917ms)
✔ example catalog sanity (0.88675ms)
▶ every bundled example validates cleanly
  ✔ example 'compliance-readiness-review' has the expected shape and validates without warnings (162.4435ms)
  ✔ example 'contract-cycle-time-brief' has the expected shape and validates without warnings (15.268458ms)
  ✔ example 'data-platform-migration-plan' has the expected shape and validates without warnings (0.500459ms)
  ✔ example 'defect-escape-reduction-review' has the expected shape and validates without warnings (0.235084ms)
  ✔ example 'demand-generation-campaign-brief' has the expected shape and validates without warnings (2.921292ms)
  ✔ example 'employee-town-hall-run-of-show' has the expected shape and validates without warnings (0.811083ms)
  ✔ example 'engineering-capacity-planning' has the expected shape and validates without warnings (0.411667ms)
  ✔ example 'enterprise-account-expansion-plan' has the expected shape and validates without warnings (0.18375ms)
  ✔ example 'field-enablement-certification' has the expected shape and validates without warnings (0.172416ms)
  ✔ example 'fy27-budget-tradeoff-deck' has the expected shape and validates without warnings (0.083041ms)
  ✔ example 'identity-incident-executive-brief' has the expected shape and validates without warnings (0.115792ms)
  ✔ example 'investor-relations-update' has the expected shape and validates without warnings (0.188459ms)
  ✔ example 'model-governance-review' has the expected shape and validates without warnings (0.177833ms)
  ✔ example 'onboarding-experience-redesign' has the expected shape and validates without warnings (0.05675ms)
  ✔ example 'partner-ecosystem-launch-kit' has the expected shape and validates without warnings (0.045833ms)
  ✔ example 'pricing-and-packaging-decision' has the expected shape and validates without warnings (0.17125ms)
  ✔ example 'product-roadmap-decision-review' has the expected shape and validates without warnings (0.156291ms)
  ✔ example 'renewal-save-plan' has the expected shape and validates without warnings (0.093958ms)
  ✔ example 'revenue-forecast-inspection' has the expected shape and validates without warnings (0.165084ms)
  ✔ example 's-and-op-exception-review' has the expected shape and validates without warnings (0.185708ms)
  ✔ example 'scope-3-reporting-readiness' has the expected shape and validates without warnings (0.114959ms)
  ✔ example 'strategy-offsite-pre-read' has the expected shape and validates without warnings (0.150959ms)
  ✔ example 'supplier-risk-heatmap' has the expected shape and validates without warnings (0.177459ms)
  ✔ example 'support-deflection-program' has the expected shape and validates without warnings (0.093166ms)
  ✔ example 'workplace-occupancy-reset' has the expected shape and validates without warnings (0.084958ms)
  ✔ example 'data-storytelling-atlas' has the expected shape and validates without warnings (0.142167ms)
